office_name,places_found,places_count
Amt für Wiedergutmachung Höxter,höxter,1
Kroa Linda,linda,1
Wittmund,wittmund,1
Regierungsbezirkamt für Wiedergutmachung und verwaltete Vermögen Nürnberg und Wien,nürnberg,1
Kreissozialamt Hameln,hameln,1
"Rostock, BV-Abteilung",rostock,1
Deutsches Zentrales Stelle,stelle,1
Kreissozialhilfsausschuss Wittmund,wittmund,1
"United Restitution Office, Frankfurt/M., Grünburgweg 119",frankfurt,1
Amt für Wiedergutmachung des Enneppe-Ruhr-Kreises in Schwelm,schwelm,1
Regierung Ansbach (Mrf.),ansbach,1
Kreissonderhilfsausschuss Land Holzen,holzen,1
Kreissonderhilfsausschuss Gifhorn,gifhorn,1
"Regierungsbezirksamt für Wiedergutmachung und verwaltetes Vermögen, Nürnberg",nürnberg,1
"Acco, Rech. Jabotinskii 26/8",rech,1
Nienburg,nienburg,1
Regierung Arnswerg (Welt.),welt,1
Kreissozialhilfsausschuss Landkreis Grafschaft Hoya,"grafschaft, hoya",2
Nienburg-Weser,nienburg,1
KSHA Winsen-Luhe,winsen,1
Kreissozialamt Rinteln,rinteln,1
Regierungsbezirk für Wiedergutmachung und verwaltete Vermögen Nürnberg a. d. Weser,nürnberg,1
Kreissozialamt Nienburg-Weser,nienburg,1
Kreissozialhilfsausschuss Wilhelmshaven,wilhelmshaven,1
KSHA Springe,springe,1
KSHA Wissen/Luhe,wissen,1
An Bunde,bunde,1
Kreissonderhlfasschuss Auerbach,auerbach,1
KSHA Wittmund,wittmund,1
Kreisaußerhilfsausschuss Winsen - Luhe,winsen,1
Fulda,fulda,1
"Regierungsbezirksamt für Wiedergutmachung und verwaltete Vermögen, Nürnberg a.d. Weinstr.",nürnberg,1
Kreissozialhilfsausschuss des Landkreises Blankenburg (Brit. Zone) Braunlage,"blankenburg, braunlage",2
Kreissozialhilfsausschuss Cloppenburg,cloppenburg,1
Regierung Ansbach (Weff.),ansbach,1
Regierung Ansbach (MfS),ansbach,1
Stadt Bonn Amt für Wiedergutmachung,bonn,1
Kreissozialamt Salzgitter,salzgitter,1
Regierungsbezirkamt für Wiedergutmachung und kontrollierte Vermögen Altenkirchen/Westerw.,altenkirchen,1
Kreissonderhilfsschüle Watnstedt-Salzgitter,salzgitter,1
Kreissozialhilfsschule Gifhorn,gifhorn,1
United Restitution Office Frankfurt,frankfurt,1
Amt für Wiedergutmachung in Herford,herford,1
KSHA Watenstedt-Salzgitter,salzgitter,1
Stadt Remscheid - Amt für Wiedergutmachung,remscheid,1
Amt für Wiedergutmachung - Höxter/Weser,höxter,1
Gifhorn,gifhorn,1
"Amt für Wiedergutmachung, Stadt Remscheid",remscheid,1
Kreissozialamt Meppen,meppen,1
Regierung Bamberg,bamberg,1
Kreissozialamt Augsburg,augsburg,1
Registerbezirksamt für Wiedergutmachung und verwaltete Vermögen Nürnberg a. d. Wein,nürnberg,1
Kreis Lindau,lindau,1
KSHA Wattenstedt-Salzgitter,salzgitter,1
Kreissonderhilfsausschuss Soltau,soltau,1
Kreisverwaltung - Amt f. Wiedergutmachung - Höxter/Weser,höxter,1
Kreisverwaltung Paderborn,paderborn,1
Alfeld/Leine,alfeld,1
Regierung Ansbach (StML),ansbach,1
"Krefeld, Ostwall 263",krefeld,1
Kreissozialamt Winsen/Luhe,winsen,1
Krois Lindau,lindau,1
"United Restitution Office, Frankfurt/M., Gruneburgweg 119",frankfurt,1
"Amt für Wiedergutmachung, Kreisverwaltung Paderborn",paderborn,1
Bezirksamt für Wiedergutmachung von Nürnberg,nürnberg,1
Kreisverwaltung Paderborn Amt für Wiedergutmachung,paderborn,1
Landkreis Grafschaft Goya,grafschaft,1
Kreissozialhilfsschuss Bremervörde,bremervörde,1
Kreissonderhilfsausschuss Wartensleben-Salzgitter,salzgitter,1
Kreissonderhilfsschule Fallingbostel,fallingbostel,1
Kreissozialhilfsschübe Nordheim,nordheim,1
Regierungsamt Ansbach (Welf.),ansbach,1
KSHAWatenstedt-Salzgitter,salzgitter,1
Regierung Bamberg (MfRf.),bamberg,1
LG Frankfurt,frankfurt,1
Regierung Frankfurt (Main),frankfurt,1
Regierung Hirschberg (Weltf.),hirschberg,1
Kreissozialamt Landkreis Osterholz,osterholz,1
Kreissonderhilfsausschuss Winsen - Luhe,winsen,1
KSHA Nienburg,nienburg,1
Kreissozialhilfsausschub der Stadt Wagenstein Salzgitter,salzgitter,1
Kreissonderhilfsschüle Wittmund,wittmund,1
Kreissozialamt Bersenbrück,bersenbrück,1
KSHA Meppen,meppen,1
Zentrale Stelle für die Wiedergutmachung,stelle,1
"United Restitution Office, Frankfurt/Main",frankfurt,1
Amtsgericht Amberg (W.E.R.I.),amberg,1
Kreissozialamt Melle,melle,1
Regierung Pommern (m.O.),pommern,1
Lohr / Main,lohr,1
Amt für Wiedergutmachung des Landkreises Höxter,höxter,1
Kreissozialhilfsausschuss Jever,jever,1
Frankfurt=Main,frankfurt,1
Regierungsamt Ansbach (West),ansbach,1
KSHM Melle,melle,1
KSHA Einbeck,einbeck,1
KSHA Nordhorn,nordhorn,1
Kreissonderhilfsausschuss Uelzen,uelzen,1
Kreissonderhilfsausschüβ Salzgitter,salzgitter,1
Kreissozialhilfsausschuss Landkreis Gera,gera,1
Kreissozialamt Wilhelmshaven,wilhelmshaven,1
Kreissozialamt Wieden,wieden,1
Regierung Frankfurt (Oder),frankfurt,1
Amt für Wiedergutmachung in Neuss/Rh.,neuss,1
Regierung Bamberg (Württ.),bamberg,1
Kreissonderhilfsausschuss Northeim,northeim,1
Staatsanwalt L.G. Frankfurt/Main,frankfurt,1
LKA Jülich,jülich,1
Kreissonderhilfsausschuss Winsen/Luhe,winsen,1
Regierungsamt Ansbach,ansbach,1
Eschwege,eschwege,1
Kreissonderhilfsausschuss Nürnberg,nürnberg,1
Kreissozialhilfsausschuss Winsen/Luhe,winsen,1
Magistrat der Stadt Fürth,fürth,1
Kreisonderhilfsausschuss Cuxhaven,cuxhaven,1
Regierung Prähserg (Staats.),staats,1
Hauptzuständige Stelle für Wiedergutmachung und verwaltete Vermögenskohlen,stelle,1
Regierungsbezirk Ansbach (Meß.),ansbach,1
KZ Dresden,dresden,1
KSHA Gifhorn,gifhorn,1
Regierung Ansbach (Weltf.),ansbach,1
Bückeburg,bückeburg,1
Regierung Rendsburg (Bdl.),rendsburg,1
Der Regierungsbezirk: Gießen,gießen,1
Kreis Lindenau,lindenau,1
KSHA Winsen/L.,winsen,1
"Regierungsbezirksamt für Wiedergutmachung und verwaltete Vermögen, Nürnberg a. d. Weinstraße",nürnberg,1
KSHa Osterholz-Scharmbeck,osterholz,1
Regierungspräsidium Potsdam (WRF),potsdam,1
Stadthagen,stadthagen,1
Kreissonderhilfsausschuss Melle,melle,1
Tröglitz,tröglitz,1
Cuxhaven-Duven,cuxhaven,1
Landkreis Coesfeld,coesfeld,1
Alfeld,alfeld,1
Regierungsbezirksamt für Wiedergutmachung und verwaltete Vermögensnachlässe in Nürnberg,nürnberg,1
Kreissozialhilfsschüle Gifhorn,gifhorn,1
Kreissozialamt Springe,springe,1
Kreissozialamt Burgdorf/Hann.,burgdorf,1
Kroic Lindau,lindau,1
Kupferberg b.Stadtsteinach,"kupferberg, stadtsteinach",2
Wartensleben-Salzgitter,salzgitter,1
Regierung Rendsburg (Dith.),rendsburg,1
Kreissonderhilfsschuss Nordhorn,nordhorn,1
"United Restitution Office, Frankfurt/M., Grineburgweg 119",frankfurt,1
Fallingbostel,fallingbostel,1
KSHA Rinteln,rinteln,1
Nordhorn,nordhorn,1
Regierung Ansbach (Deft.),ansbach,1
Ansl. Amt Frankfurt/M.,frankfurt,1
Regierungsbezirkamt für Wiedergutmachung und kontrollierte Vermögen Altenkirchen Westerw.,altenkirchen,1
Kreissozialhilfsausschuss Rinteln,rinteln,1
"Regierungsbezirksamt für Wiedergutmachung und verwaltete Vermögen, Nürnberg am d. Weinstr.",nürnberg,1
Kreissonderhilfsschüle Gifhorn,gifhorn,1
Kreissozialamt Winsen-Luhe,winsen,1
Regierungsbezirk Würzburg,würzburg,1
Kreissozialhilfesausschuss des Landkreises Burgdorf/Hann.,burgdorf,1
Kreissozialamt Landkreis Grafschaft Goya,grafschaft,1
Regierung Ansbach (Marz.),ansbach,1
Kreissozialhilfsausschuss Cuxhaven,cuxhaven,1
Amt für Wiedergutmachung in Bonn,bonn,1
Regierung Präs.berg (Welf.),berg,1
Kreissozialamt Rottenburg/Hann.,rottenburg,1
Norden,norden,1
Kreis Nordhorn,nordhorn,1
Kreisverwaltungsreferat Schwerin,schwerin,1
Kreissozialhilfsausschuss Landkreis Uelzen,uelzen,1
Büdesheim,büdesheim,1
"Kreissozialhilfsausschuss des Landkreises Gera, Schauburg",gera,1
der Regierungspräsident -Dezernat f.Wiedergutmachung-Höxter,höxter,1
Regierungsbezirk Ansbach (Welf.),ansbach,1
Kreissozialamt Hameln-Pyrmont,hameln,1
Kreissonderhilfsausschuss Burgdorf,burgdorf,1
Regierung Arnswald (Wehr.),wehr,1
Kreissozialhilfsausschuss Nordhausen,nordhausen,1
Anstalt Bünde,bünde,1
Kreissonderhilfsausschuss Diepholz,diepholz,1
Regierungsbezirk für Wiedergutmachung und verwaltungsamt d. Weimar,weimar,1
Regierungsbezirk für Wiedergutmachung und verwaltete Vermögen Nürnberg a. d. Weserstraße,nürnberg,1
Regierungsbezirk Ansbach (Württ.),ansbach,1
"LG, Bochum",bochum,1
Landkreis Cottbus,cottbus,1
Regierung Arnsherg (Meßkirch),meßkirch,1
Regierungsbezirk für Wiedergutmachung und Vermögensverwaltung Neusäß a. d. Weser,neusäß,1
Kreissozialamt Jülich,jülich,1
Kreissozialamt Nordhausen,nordhausen,1
Hammer,hammer,1
"Regierungsbezirkskammer für Wiedergutmachung und verwaltete Vermögen, Nürnberg a. d. Weinstr.",nürnberg,1
Kreissozialhilfsausschuss Norden,norden,1
Kreissozialhilfsausschuss Emden,emden,1
Kreissonderhilfsschübe Gifhorn,gifhorn,1
LVA Lübeck,lübeck,1
Kreissozialhilfsausschuss des Landkreises Burgdorf/Hann.,burgdorf,1
Regierung Amberg,amberg,1
Kreissonderhilfsschüle Watenstedt-Salzgitter,salzgitter,1
Kreissonderhilfsausschub Springe,springe,1
"United Restitution Office, Frankfurt/M.",frankfurt,1
Lüdenscheid,lüdenscheid,1
Wolfsburg,wolfsburg,1
Springe,springe,1
Neuendettelsau a.d. Weinstr.,neuendettelsau,1
Kreissozialamt Alfeld/Leine,alfeld,1
Landkreis Grafschaft Hoya,"grafschaft, hoya",2
Der Regierungspräsidet. Düren,düren,1
Hochheim,hochheim,1
Kreissozialhilfsausschuss Nordhorn,nordhorn,1
Regierung Ansbach (Welfs),ansbach,1
Regierung Ansbach (Wf.),ansbach,1
Der Regierungspräsident Düren,düren,1
Kreissonderbehelfsausschuss Bremervörde,bremervörde,1
"Dinker, Kreis Soest",soest,1
Regierungsbezirksamt für Wiedergutmachung und Vermögensfragen Nürnberg,nürnberg,1
Kreissozialhilfsausschuss des Landkreises Gera - Schmiedeberg,"gera, schmiedeberg",2
Kreisonderhilfsausschuss Nürnberg,nürnberg,1
Bullay,bullay,1
Kreissozialhilfsschule Northeim,northeim,1
Weimar,weimar,1
Amt für Wiedergutmachung des Landes Thüringen in Erfurt Hauptabteilung II,erfurt,1
Rinteln,rinteln,1
Kreissozialamt Nordhorn,nordhorn,1
Regierung Frankfurt (Wf.),frankfurt,1
Kreissonderhilfsausschuss Nienburg,nienburg,1
Schwabach,schwabach,1
Regierung Frankfurt (Weltf.),frankfurt,1
Stadtverwaltung Stolberg,stolberg,1
Kreissozialhilfesausschuss Watenstedt-Salzgitter,salzgitter,1
Regensburg,regensburg,1
Duisburg,duisburg,1
Regierungsbezirksamt für Wiedergutmachung und Vermögensverwaltung Meiningen,meiningen,1
Troilo Lindenau,lindenau,1
KSHA Syke,syke,1
Kreisossonderhilfsausschuss Nienburg-Weser,nienburg,1
Bülow-Vereinigung Amt,bülow,1
Regierungspräsidium Bamberg (R.M.),bamberg,1
"Amt für Wiedergutmachung, Stadt Witten/Ruhr",witten,1
L.G. Heimburg,heimburg,1
KSHA Salzgitter,salzgitter,1
Kreissozialamt Blankenburg (Brit. Zone),blankenburg,1
Gütersloh,gütersloh,1
Amt für Wiedergutmachung des Landes Preußen in Bonn Hauptabteilung II,bonn,1
Regierung Arnshorn (Mölln),mölln,1
Regionalverwaltungsgericht für Wiedergutmachung und verwaltete Vermögen Nürnberg,nürnberg,1
"United Restitution Offices, Frankfurt",frankfurt,1
Regierung Prenzlau (Wff.),prenzlau,1
nt für die Verfolgten aus dem ehemaligen Reich,reich,1
Regierungsbezirksamt für Wiedergutmachung und verwaltete Vermögen Neusidler d. Weinsberg,weinsberg,1
"Erfurt, Ansbach, Chamnitz","ansbach, erfurt",2
Regierung Pirmasens (Würt.),pirmasens,1
Regierung Frankfurt (Welf.),frankfurt,1
Kreisverwaltungs Unna i.W. -Amt für Wiedergutmachung-,unna,1
Regierungspräsidial Amtsberg,amtsberg,1
LG - Salzburg,salzburg,1
Landsberg,landsberg,1
Regierung Ansbach (Staats.),"ansbach, staats",2
"Krefeld, Hubertussstr.68",krefeld,1
Regierung Ansbach (Def.),ansbach,1
Polizei/Kriminalamt Heilbronn,heilbronn,1
Regierung Bamberg (M.M.),bamberg,1
Regierungsbezirk Rensburg (Wehr.),wehr,1
Starnberg,starnberg,1
Regierung Bamberg (Wüff.),bamberg,1
Regierungsbezirk Brünn (Mf.),brünn,1
Magdeburg,magdeburg,1
der Regierungspräsident - Dezernat f. Wiedergutmachung - Potsdam,potsdam,1
"RA. United Restitution Office, Frankfurt/Main",frankfurt,1
Königreich Preußen,königreich,1
Nordhausen,nordhausen,1
Land. Justizverw. Ludwigsburg,ludwigsburg,1
Kreissonderhilfsausschuss Hameln n.-Pyrmont,hameln,1
"Bundesamt für Vertriebene, Bonn",bonn,1
Kreisjugendamt Karlstadt,karlstadt,1
Regierung Fürth (Würt.),fürth,1
Kreissozialhilfeauschuss Northeim,northeim,1
KSHa Nürnberg,nürnberg,1
Amt für Wiedergutmachung Essen,essen,1
KSHV Verden,verden,1
Regierung Bamberg (Würt.),bamberg,1
Kreissozialamt Duisburg,duisburg,1
Neusäß,neusäß,1
Regierungspräsidien Amberg,amberg,1
Kreissozialamt Fallingbostel,fallingbostel,1
Kreissonderhilfsschüle Norden,norden,1
Kreissozialamt Lübeck,lübeck,1
Kreissozialamt Wolfenbüttel,wolfenbüttel,1
KSHA Lingen,lingen,1
Doppelmeldung Bundes Fin. Min. Bonn,bonn,1
WilhelmsHaven,wilhelmshaven,1
Kreisaußerhilfsausschuss d. Landkreises Blankenburg (Brit. Zone) Braunlage,"blankenburg, braunlage",2
Kreissozialhilfeausschuss Gifhorn,gifhorn,1
Regierungsbezirk Nürnberg für Wiedergutmachung und verwaltete Vermögen,nürnberg,1
Kreissozialamt Hagen,hagen,1
Amt für Wiedergutmachung in Duisburg,duisburg,1
Amt für Wiedergutmachung Stadt Gelsenkirchen,gelsenkirchen,1
"Wallo Driza, Goldberger Werner, Grünwald, John",grünwald,1
"Sondervermögens-u. Baubehörde, Regierungsbezirk Nürnberg",nürnberg,1
Salzgitter,salzgitter,1
Bazirksamt für Wiedergutmachung Mannheim,mannheim,1
Betreuungsst. Nordenham,nordenham,1
Blankenburg,blankenburg,1
Regierung Bamberg (Meßl.),bamberg,1
Kreissozialhilfsausschuss Landkreis Grafschaft Hoya Syke,"grafschaft, hoya, syke",3
Kreisaußerhilfsausschuss Watenstedt-Salzgitter,salzgitter,1
Stadt Bonn Amt für Wiedergutmachung (43),bonn,1
Kreisaußerhilfsausschuss Burgdorf,burgdorf,1
Kreissonderhilfsausschuss Duderstadt,duderstadt,1
Regierungsamt Ansbach (Württ.),ansbach,1
"United Restitution Office, Frankfurt/M. Grünburgweg 119",frankfurt,1
Regierungspräsidium Fürth (10b),fürth,1
Kreissozialamt Nienburg,nienburg,1
Kreissonderhilfsausschuss Meppen,meppen,1
Kreissonderhilfsausschuss Rottenburg/Hann.,rottenburg,1
KSHA Rottenburg,rottenburg,1
Kreissozialhilfsausschuss Soltau,soltau,1
Kreissonderhilfsausschuss Alfeld/Leine,alfeld,1
Regierungsbezirk für Wiedergutmachung und verwaltete Vermögen Neusäß a. d. Ammer,neusäß,1
Regierung Pommern (Welf.),pommern,1
Landkreis Grafschaft Hoy,grafschaft,1
"Kreisverwaltung Paderborn, Amt für Wiedergutmachung",paderborn,1
Kreissozialhilfsausschuss der Stadt Würzburg,würzburg,1
Regierungsbezirk Rendsburg (Westf.),rendsburg,1
Rosenheim,rosenheim,1
Hainfeld,hainfeld,1
Schwerin Landesentschädigungsamt,schwerin,1
Kreisverwaltungsreferat Salzgitter,salzgitter,1
Kreissonderhilfsschüfe Winsen/Luhe,winsen,1
BMF Bonn,bonn,1
Kreissonderhilfsausschuss Landkreis Grafschaft Goya,grafschaft,1
Regierung Ansbach (StV),ansbach,1
Kreisondeserhifsausschuss Cuxhaven,cuxhaven,1
Kreissonderbehelfsausschuss Watenstedt-Salzgitter,salzgitter,1
KSHA Winsen - Luhe,winsen,1
"Regierungsbezirksamt für Wiedergutmachung und verwaltete Vermögen, Nauheim a. d. Weinstr.",nauheim,1
Kreissozialhilfsausschuss Watensburg-Salzgitter,salzgitter,1
Kreissozialamt Bremervörde,bremervörde,1
Kreissozialamt Landkreis Grafschaft Lippe,grafschaft,1
Regierung Pommern (Meckl.),pommern,1
Soltau,soltau,1
Kreissozialamt Hamm-Land,hamm,1
Altenkirchen'Westerw.,altenkirchen,1
Regierungsbezirkamt für Wiedergutmachung und verwaltete Vermögen Nürnberg a.d. Weinstr.,nürnberg,1
Kreissozialamt Hamm-Jüpem,hamm,1
KSHA Winsen - Lühe,winsen,1
"Amt für Wiedergutmachung, Regierung Ansbach (Wehr.)","ansbach, wehr",2
Regierungsbezirksamt für Wiedergutmachung und verwaltete Vermögen Nürnberg a. d. Weißstr.,nürnberg,1
Kreissonderhilfsschüfe Hamm,hamm,1
KSHA Dannenberg/Elbe,"dannenberg, elbe",2
Regierungsamt Brünn (Mähren),"brünn, mähren",2
